Fascia,Sesso,Anno,Regione,Popolazione
0-18,Femmine,2021,Piemonte,"321,159"
19-35,Femmine,2021,Piemonte,"337,436"
36-60,Femmine,2021,Piemonte,"774,935"
61-120,Femmine,2021,Piemonte,"748,975"
0-18,Femmine,2021,Valle D'Aosta,"9,710"
19-35,Femmine,2021,Valle D'Aosta,"9,916"
36-60,Femmine,2021,Valle D'Aosta,"22,867"
61-120,Femmine,2021,Valle D'Aosta,"20,454"
0-18,Femmine,2021,Lombardia,"818,373"
19-35,Femmine,2021,Lombardia,"839,331"
36-60,Femmine,2021,Lombardia,"1,836,751"
61-120,Femmine,2021,Lombardia,"1,567,021"
0-18,Femmine,2021,Trentino Alto Adige,"98,106"
19-35,Femmine,2021,Trentino Alto Adige,"97,485"
36-60,Femmine,2021,Trentino Alto Adige,"191,501"
61-120,Femmine,2021,Trentino Alto Adige,"156,013"
0-18,Femmine,2021,Veneto,"388,010"
19-35,Femmine,2021,Veneto,"401,368"
36-60,Femmine,2021,Veneto,"897,573"
61-120,Femmine,2021,Veneto,"780,051"
0-18,Femmine,2021,Friuli Venezia Giulia,"87,847"
19-35,Femmine,2021,Friuli Venezia Giulia,"91,551"
36-60,Femmine,2021,Friuli Venezia Giulia,"217,401"
61-120,Femmine,2021,Friuli Venezia Giulia,"215,144"
0-18,Femmine,2021,Liguria,"104,081"
19-35,Femmine,2021,Liguria,"112,840"
36-60,Femmine,2021,Liguria,"271,378"
61-120,Femmine,2021,Liguria,"295,107"
0-18,Femmine,2021,Emilia Romagna,"348,654"
19-35,Femmine,2021,Emilia Romagna,"360,695"
36-60,Femmine,2021,Emilia Romagna,"824,205"
61-120,Femmine,2021,Emilia Romagna,"728,277"
0-18,Femmine,2021,Toscana,"275,517"
19-35,Femmine,2021,Toscana,"287,666"
36-60,Femmine,2021,Toscana,"682,132"
61-120,Femmine,2021,Toscana,"641,070"
0-18,Femmine,2021,Umbria,"65,116"
19-35,Femmine,2021,Umbria,"67,788"
36-60,Femmine,2021,Umbria,"158,238"
61-120,Femmine,2021,Umbria,"152,475"
0-18,Femmine,2021,Marche,"113,765"
